Input File Name,Date Created,Minimum TIC Intensity,Maximum BMU Distance
GrobMix_VF200_GC,250216_200118,NaN,NaN
x,y,totalized TIC(cts),log totalized TIC
37,187,21779,4.33803793490312
19,2,21846,4.33937192931759
69,36,21988,4.34218572829369
68,27,22122,4.34482438798976
34,197,22317,4.34863581342804
207,83,22591,4.35393545557152
200,233,22700,4.35602585719312
35,189,22793,4.35780149050287
1,12,22859,4.35905722763489
36,201,22966,4.36108536048883
31,104,23715,4.37502312898789
83,10,23881,4.37805250861264
80,10,23957,4.37943243287342
32,135,23973,4.37972238538619
158,91,24352,4.38653463509048
212,14,24367,4.38680206329855
62,131,24435,4.38801234336419
83,9,24518,4.38948504070815
68,6,24647,4.39176406508444
206,83,24657,4.39194023516714
200,235,24674,4.39223956039811
68,130,24692,4.39255626829507
78,6,24750,4.39357520326959
35,194,24835,4.39506416433124
74,5,25073,4.39920630067131
205,84,25123,4.4000714983475
155,9,25215,4.40165897249515
66,18,25235,4.4020033090697
211,91,25354,4.4040464859923
212,94,25396,4.40476531840231
55,238,25828,4.4120907777338
207,92,26127,4.417089545271
101,25,26128,4.41710616739259
36,188,26177,4.41791987299774
33,191,26505,4.42332780856245
82,10,26632,4.42540378214861
78,138,26637,4.42548531070803
121,25,26820,4.42845877351558
103,25,27425,4.43814663624675
6,18,27662,4.4418835769867
29,9,27675,4.44208762955076
66,134,27730,4.44294986957786
1,125,27785,4.4438104011214
237,49,27809,4.44418537209716
65,18,27875,4.44521487605622
2,27,27951,4.44639735020859
35,198,28150,4.44947839918736
30,11,28366,4.45279809855916
80,139,28494,4.45475341996566
18,3,28537,4.45540831524229
3,27,28803,4.45943772441173
24,47,28947,4.46160356112193
120,27,28990,4.462248215355
167,77,29060,4.463295609962
203,81,29564,4.4707631936065
53,236,29775,4.47385177015482
35,186,30346,4.4821014534866
206,84,30525,4.48465567261692
119,27,30637,4.48624623657306
31,11,30837,4.48907212077906
66,133,30881,4.48969135537646
53,243,31039,4.49190772091483
3,26,31254,4.49490560781634
169,146,31317,4.49578015230518
56,241,31818,4.50267287750221
124,26,31914,4.50398124070422
206,86,32306,4.50928318873667
24,44,32461,4.51136189465818
29,12,33053,4.51921088361945
103,28,33106,4.51990671071674
18,100,33154,4.52053593313684
64,130,33201,4.52115116466613
68,135,33224,4.52145191810182
152,1,33433,4.52417534832422
208,93,34062,4.53227014460906
36,187,34101,4.53276711471432
161,148,34228,4.53438152331726
34,189,34680,4.54007908880417
167,75,34850,4.54220278243403
104,26,35140,4.54580175715928
36,101,35759,4.55338536525379
120,24,35808,4.55398006484826
211,94,36066,4.55709797835226
79,7,36654,4.56412137551565
22,95,36856,4.56650819924462
70,135,38234,4.58244973581797
123,27,38372,4.58401443579794
207,84,38566,4.586204596916
200,234,39008,4.59115368393829
2,26,39061,4.59174335745984
119,21,39213,4.59343006937508
54,240,39471,4.59627812940997
1,198,39678,4.59854977308763
68,134,39726,4.59907483826496
34,188,40008,4.60214684153961
69,28,40471,4.60714393552862
59,224,40639,4.60894301276442
52,234,41029,4.61309093203456
55,237,41414,4.61714717916289
120,26,42238,4.62570334585323
69,134,42837,4.63181904831605
212,15,42878,4.63223451993983
123,19,42889,4.63234592034621
69,89,43774,4.64121623358033
205,82,43951,4.64296876085555
25,42,43961,4.64306756294941
153,7,44072,4.64416275936526
71,5,44602,4.64935433336437
1,197,44934,4.65257508097015
3,202,44935,4.65258474602666
59,229,45402,4.65707498435121
209,94,45537,4.65836441568707
17,99,45610,4.65906007224094
164,151,45716,4.66006822404337
68,9,45994,4.66270118088054
68,7,47496,4.676657035918
153,5,48335,4.68426172292891
35,188,50764,4.70555583543773
37,186,50791,4.70578676353162
31,12,51148,4.70882865650477
164,150,51199,4.7092614785789
155,11,52832,4.7228970515827
54,236,53767,4.73051580512519
36,186,55627,4.74528563879077
109,1,56486,4.7519408216927
35,197,57569,4.76018868562582
53,244,57876,4.76249850796951
66,16,58621,4.76805322267931
122,27,60128,4.77907675842043
69,8,63222,4.80086823043467
157,12,63227,4.80090257586106
68,8,64553,4.80991643023018
121,20,65043,4.81320056415733
103,26,67153,4.82706541915429
55,243,69741,4.8434881703323
66,17,71648,4.85520407189894
55,239,73621,4.8670017122078
55,241,75348,4.87707172910597
55,235,77001,4.88649636532393
54,244,78087,4.8925787381257
153,6,78544,4.89511301475579
164,77,78578,4.89530097077233
104,31,80135,4.90382224126423
30,12,82508,4.9164960599125
154,7,83224,4.92024858547976
172,148,88538,4.94712970740142
1,203,94035,4.97328952889464
122,26,97344,4.98830918803689
213,89,101419,5.00611932405229
19,1,103701,5.01578294435807
120,21,104578,5.01944033191638
53,233,105006,5.02121411518845
63,132,105174,5.02190839141357
79,138,109393,5.03898953261316
70,32,109728,5.04031746343485
20,1,111383,5.04681891103892
55,242,114323,5.05813361244449
72,6,114386,5.05837287327857
151,1,117166,5.06880160353679
69,6,119038,5.07568562152623
54,234,120515,5.0810411051001
166,77,122190,5.08703566480566
80,9,132446,5.12203884670905
18,1,137224,5.13743007460713
124,27,137406,5.138005697134
1,202,137764,5.1391357441031
165,76,143148,5.15578528463124
104,30,145256,5.16213408056718
67,134,147027,5.16739709579763
70,31,151362,5.18001685758325
81,10,157822,5.19816754267971
53,234,158684,5.20053313934454
36,198,168879,5.22757564867615
4,200,172566,5.23695523247459
69,31,176521,5.24679637908136
121,22,177185,5.24842695291803
80,8,186056,5.26964367986615
63,130,191899,5.28307271160044
3,201,205596,5.31301466093206
54,241,207469,5.31695321365188
121,21,207630,5.31729010396042
165,77,219032,5.34050756875876
55,240,224395,5.35101317568305
209,93,226949,5.3559282734616
54,242,255168,5.40682620964628
81,9,270942,5.43287633229195
