Input File Name,Date Created,Time Range [min],,m/z Range,,Noise Limit[cts],alpha,SOM,SOM x size,SOM y size,,
GrobMix_VF200_GC,250216_195941,2.0919,15,50,200,NaN,0.65,Talanta256SOM.h5,256,256,nan,nan
RT(ms),RT(min),TIC(cts),Rt(BMUs),Difference,x,y,H,S,L,R,G,B
153165,2.55275,21332,2.55275,1.01081661559752,155,11,0.464696144065956,0.661819972230393,0.98708945726281,0.978545002227003,0.995633912298616,0.992014085783188
153444,2.5574,22122,2.5574,0.844745680098718,68,27,0.585548447885101,0.64924737901629,0.986510813415054,0.977752994379716,0.986278018546411,0.995268632450392
153723,2.56205,20853,2.56205,0.843203241641232,156,12,0.463106579317522,0.657701717596808,0.987440216940642,0.979179626049858,0.995700807831425,0.992043670373591
154003,2.56671666666667,20721,2.56671666666667,1.05459357263191,157,12,0.461815053553249,0.658985710319293,0.987536865436074,0.97932383785266,0.995749893019488,0.991986524798227
154282,2.57136666666667,20899,2.57136666666667,0.967702582162096,157,12,0.461815053553249,0.658985710319293,0.98740653520751,0.97910762186585,0.99570544854917,0.99190272581096
154561,2.57601666666667,20218,2.57601666666667,0.959823292997173,59,224,0.899874428135698,0.648968322857111,0.98790510810722,0.995754309814015,0.980055906400424,0.989486776115278
154841,2.58068333333333,20549,2.58068333333333,0.879181565438535,69,27,0.58438646114269,0.646451396691216,0.98766279371277,0.979687389477122,0.987562004272873,0.995638197948417
155120,2.58533333333333,20462,2.58533333333333,1.02523482466978,155,11,0.464696144065956,0.661819972230393,0.987726486699853,0.97960363046838,0.995849342931326,0.992408125177299
155399,2.58998333333333,20421,2.58998333333333,1.23402179228848,59,224,0.899874428135698,0.648968322857111,0.987756502168451,0.995702144422096,0.979810859914807,0.989357603608511
155678,2.59463333333333,19061,2.59463333333333,1.13044625899635,166,80,0.395247089787806,0.336849486239276,0.988751859077955,0.984962928587217,0.992540789568693,0.987777971622735
155958,2.5993,19591,2.5993,1.23276906366614,66,13,0.578941533756279,0.721571046249539,0.988364026823666,0.979967845484687,0.988806518971507,0.996760208162645
156237,2.60395,19968,2.60395,1.23310552074115,69,28,0.585075614765384,0.64171731391395,0.988088103809109,0.980444033781869,0.987928286353824,0.995732173836349
156516,2.6086,20503,2.6086,1.22892841679094,69,28,0.585075614765384,0.64171731391395,0.987696470740103,0.97980108299178,0.98753139889043,0.995591858488426
156796,2.61326666666667,19534,2.61326666666667,1.09402497546914,59,223,0.899076075499877,0.644533832977318,0.988405741017225,0.995878633199925,0.980932848834525,0.989983172111857
157075,2.61791666666667,19144,2.61791666666667,1.47793500005303,54,235,0.90285010302867,0.714127201346465,0.988691128493497,0.996767101252823,0.980615155734171,0.990030114792312
157354,2.62256666666667,18601,2.62256666666667,1.53478174597523,70,7,0.571416538280031,0.74093360754915,0.989088401816196,0.981003632009744,0.990244536354236,0.997173171622649
157634,2.62723333333333,19988,2.62723333333333,1.23417266260229,53,235,0.901851118008444,0.717290804553709,0.98807346482455,0.996628258836087,0.979518670813013,0.989594392427818
157913,2.63188333333333,19462,2.63188333333333,1.31798009091331,50,234,0.898188766609036,0.722532695422563,0.988458431275213,0.996797592035338,0.980119270515087,0.990307513424294
158192,2.63653333333333,21504,2.63653333333333,1.50776455965985,40,246,0.897259032900393,0.808243439088054,0.986963489602513,0.997500163599885,0.976426815605141,0.989417392523181
158472,2.6412,20681,2.6412,1.52437963183686,154,7,0.467074988422933,0.682126869117315,0.987566151853391,0.979084689946064,0.996047613760717,0.992696586982847
158751,2.64585,18950,2.64585,1.69555838037285,154,7,0.467074988422933,0.682126869117315,0.988833073949431,0.981215813644893,0.99645033425397,0.993440753649421
159030,2.6505,18057,2.6505,1.51505057067114,154,7,0.467074988422933,0.682126869117315,0.989486320626001,0.982314657431711,0.99665798382029,0.993824458695905
159310,2.65516666666667,19461,2.65516666666667,1.56174630754149,53,235,0.901851118008444,0.717290804553709,0.988459163073703,0.99673729927779,0.980181026869616,0.989930904630475
159589,2.65981666666667,17389,2.65981666666667,1.33909008109737,155,9,0.465268272505549,0.672544081530167,0.989974823685367,0.983232450688664,0.99671719668207,0.993907105543021
159868,2.66446666666667,18662,2.66446666666667,1.69570450582171,53,235,0.901851118008444,0.717290804553709,0.989043776869093,0.996902574973531,0.981184978764655,0.990440965737631
160148,2.66913333333333,19187,2.66913333333333,1.43480558852099,70,6,0.57090793276944,0.745887974771889,0.988659664870693,0.98020104526786,0.989920885712087,0.997118284473526
160427,2.67378333333333,18979,2.67378333333333,1.57290149231798,54,235,0.90285010302867,0.714127201346465,0.988811855996294,0.996801613961922,0.980822098030666,0.990136547988905
