Input File Name,Date Created,Minimum TIC Intensity,Maximum BMU Distance
GrobMix_MegaLAP_GC,250216_195433,NaN,NaN
x,y,totalized TIC(cts),log totalized TIC
80,6,320672,5.50606104045113
77,6,320680,5.50607187492535
208,70,324160,5.51075942368019
49,244,336149,5.52653182362249
1,203,339942,5.53140482519321
3,201,369737,5.56789291308808
53,248,371259,5.56967699054873
200,234,373777,5.57261257398128
46,244,377583,5.57701243273304
45,244,377965,5.5774515855234
50,245,380489,5.58034210576269
74,5,382243,5.58233954094058
73,5,384641,5.58505557507855
52,247,386073,5.58666943031861
52,248,421896,5.62520540785127
210,93,428646,5.63209877537167
64,134,439826,5.64328089879188
63,132,455017,5.65802762274123
30,12,464438,5.66692774619822
19,1,478992,5.68032826000148
1,124,496572,5.69598222752558
48,247,499242,5.69831111433655
20,1,504909,5.70321311206111
209,93,515829,5.71250575460288
111,7,546163,5.73732227537143
22,1,557866,5.74652989347285
76,6,594599,5.77422417447059
65,134,642188,5.80766218602887
63,130,678158,5.83133088934495
200,233,706162,5.84890434359477
71,7,708117,5.85010502076372
51,247,765517,5.88395483961196
21,1,801871,5.90410450731868
123,20,812437,5.90978969381933
36,198,831302,5.91975882535684
70,7,899539,5.95401999716197
1,152,912818,5.96038419541498
1,125,937654,5.97204261064789
63,133,948004,5.97681016980037
62,132,984337,5.99314381000038
46,245,1078088,6.03265421201452
201,232,1138636,6.0563849106842
64,133,1142803,6.05797137178923
50,246,1143634,6.05828705836214
213,91,1160782,6.06475066496958
125,25,1718408,6.23512628586989
215,89,1737458,6.2399143150816
150,1,1746625,6.2421996720622
36,200,1777130,6.2497191983273
75,6,1801364,6.25560147918182
50,247,2180570,6.3385700328236
51,246,2292209,6.36025421338635
73,6,2673809,6.4271303807836
71,6,2757264,6.44047835052876
31,12,3801495,6.57995442360777
72,6,4067282,6.60930428472278
123,19,4128666,6.61580975082721
148,1,4615629,6.66423089336083
125,26,4989583,6.69806425136158
200,232,5587222,6.7471959277517
36,199,6131416,6.78756078283339
149,1,6216373,6.79353706547459
214,89,8260732,6.91701853272901
214,90,8287829,6.91844078184101
215,90,9235901,6.9654792690498
4,201,11189271,7.04880179242731
213,90,12435453,7.09466161041954
62,129,13105240,7.11744497871423
